epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8833.93,0.53139,0.21986,0.00144,0.51844,0.39477,0.44228,0.22463,2.04209,1.95031,0.00946,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,9106.5,0.52817,0.21736,0.00144,0.53617,0.39046,0.43347,0.21898,1.99928,1.8264,0.00925,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,9378.96,0.5243,0.21497,0.00142,0.52449,0.40981,0.43158,0.22282,2.01413,1.86815,0.00929,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,9651.44,0.52283,0.21503,0.00143,0.50597,0.42452,0.41076,0.2051,1.99322,1.7402,0.00914,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,9924.11,0.5213,0.21344,0.00142,0.52682,0.42457,0.42864,0.21857,1.99759,1.79915,0.00922,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,10196.5,0.51919,0.21264,0.00142,0.49054,0.39484,0.39764,0.20196,2.00561,1.75457,0.00932,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,10468.5,0.51792,0.21045,0.00141,0.50151,0.3867,0.39556,0.21072,1.99565,1.84222,0.00925,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,10740.4,0.51624,0.20807,0.0014,0.54951,0.41559,0.42147,0.23527,1.9799,1.86227,0.00911,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,11012,0.51307,0.20745,0.00141,0.57608,0.41055,0.42791,0.23931,1.98185,1.87557,0.0091,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,11284.6,0.51321,0.20845,0.00139,0.50625,0.38697,0.39029,0.2082,1.99242,1.90797,0.00917,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,11557.7,0.50957,0.20747,0.00139,0.51807,0.39443,0.42392,0.23481,1.99508,1.84862,0.00921,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,11829.7,0.51091,0.20462,0.00138,0.62022,0.41659,0.4479,0.24571,1.98339,1.83712,0.00918,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,12102,0.50665,0.2043,0.00138,0.55587,0.40802,0.43419,0.23463,1.99214,1.90926,0.0092,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,12374.5,0.50825,0.20359,0.00138,0.52213,0.40414,0.42218,0.21914,2.01155,1.90827,0.00933,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,12647,0.50658,0.20163,0.00137,0.57827,0.42849,0.45691,0.24117,1.99988,1.79429,0.00919,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,12919.8,0.50442,0.20091,0.00137,0.50313,0.38875,0.41909,0.22497,1.99057,1.85789,0.00917,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,13192.1,0.50398,0.20055,0.00136,0.49335,0.38673,0.40618,0.21572,1.98594,1.85388,0.00926,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,13464.8,0.50356,0.19919,0.00136,0.47008,0.37797,0.39778,0.21032,1.99636,1.91603,0.00927,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,13736.9,0.50414,0.19883,0.00136,0.49253,0.3916,0.41691,0.21962,1.99837,1.88571,0.00931,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,14008.7,0.49996,0.19802,0.00136,0.52313,0.3886,0.43004,0.22521,1.98618,1.94689,0.00922,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,14280.8,0.5009,0.19683,0.00135,0.51854,0.38018,0.4155,0.22147,1.98879,1.95919,0.00924,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,14553.3,0.49943,0.19728,0.00134,0.50597,0.37658,0.40283,0.21672,1.99269,1.9832,0.00922,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,14824.8,0.50176,0.19693,0.00134,0.50516,0.3738,0.40498,0.21501,1.99889,1.9609,0.00928,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,15097,0.49657,0.1958,0.00135,0.54437,0.39671,0.43227,0.22763,1.99434,1.87971,0.00928,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,15369,0.49215,0.19277,0.00134,0.51446,0.38119,0.42029,0.21701,1.97559,1.8839,0.00914,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,15641.4,0.49654,0.194,0.00134,0.52984,0.38906,0.42981,0.22377,1.97873,1.85185,0.00913,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,15913.8,0.49347,0.19217,0.00133,0.56561,0.40421,0.43976,0.23184,1.98065,1.83434,0.00914,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,16186.1,0.49404,0.19444,0.00134,0.54389,0.39607,0.44045,0.23105,1.98778,1.86866,0.00924,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,16458.7,0.49495,0.1938,0.00133,0.551,0.3975,0.43503,0.22693,1.99098,1.89488,0.00927,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,16730.8,0.49161,0.19116,0.00133,0.53665,0.39075,0.43352,0.2267,1.99103,1.91563,0.00925,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,17003.3,0.49074,0.19067,0.00133,0.51007,0.37452,0.41577,0.21958,1.99696,1.95019,0.00929,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,17276.2,0.49236,0.19138,0.00131,0.50793,0.37016,0.41496,0.22121,1.99708,1.94696,0.00931,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,17547.4,0.49121,0.19033,0.00131,0.5095,0.3716,0.41931,0.22368,1.99685,1.92362,0.00932,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,17818.7,0.48893,0.18991,0.00132,0.5471,0.39763,0.42834,0.23105,1.99907,1.89114,0.00931,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,18090.6,0.49016,0.19038,0.00132,0.54686,0.39946,0.43455,0.23624,1.99308,1.88144,0.00928,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,18362.9,0.48872,0.1896,0.00132,0.54716,0.39496,0.43502,0.2389,1.99138,1.86002,0.00929,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
