epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,16092.8,0.47199,0.18646,0.0013,0.49708,0.38821,0.40604,0.21072,2.00251,2.11877,0.00939,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,16591.6,0.46927,0.18476,0.0013,0.54077,0.42918,0.45406,0.24885,1.96304,1.8634,0.00905,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,17090.9,0.4688,0.18424,0.00129,0.53274,0.41994,0.4445,0.23678,1.97563,1.93997,0.00915,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,17589.8,0.46526,0.18343,0.00129,0.54558,0.42901,0.44414,0.2218,2.02463,1.90481,0.00941,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,18088.9,0.46398,0.18235,0.00128,0.5255,0.40956,0.41506,0.22014,2.03538,1.85189,0.00963,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,18587.5,0.46306,0.18229,0.00128,0.5621,0.44671,0.45519,0.23687,1.96696,1.87389,0.00917,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,19085.6,0.46578,0.18295,0.00128,0.58083,0.43355,0.43996,0.22234,2.03268,1.95031,0.00926,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,19583.5,0.46077,0.17977,0.00126,0.50564,0.3946,0.41761,0.20758,2.0573,1.94828,0.00944,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,20082,0.45858,0.17959,0.00128,0.53893,0.40797,0.42926,0.21047,2.0897,1.98672,0.00964,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,20580.6,0.45936,0.18006,0.00125,0.49419,0.41921,0.41928,0.20695,2.04568,1.91595,0.00927,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,21079,0.45556,0.17744,0.00126,0.55172,0.42558,0.42604,0.21583,2.04716,1.95289,0.0093,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,21577.5,0.45637,0.17769,0.00125,0.56779,0.42078,0.43641,0.22051,2.01471,1.8537,0.00932,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,22075.9,0.45335,0.17739,0.00125,0.5393,0.39572,0.42506,0.2248,2.02596,1.98997,0.00941,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,22574.6,0.45484,0.17681,0.00125,0.58357,0.4157,0.44053,0.22317,2.08139,1.99521,0.00957,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,23073.2,0.45331,0.17641,0.00124,0.5528,0.42491,0.44477,0.21964,2.06046,1.91888,0.00952,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,23571,0.45358,0.17673,0.00125,0.51927,0.40746,0.42736,0.21341,2.07333,1.90519,0.0096,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,24069.8,0.45237,0.17651,0.00123,0.49725,0.3896,0.40714,0.20705,2.09075,2.00547,0.00975,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,24568.7,0.4527,0.17376,0.00124,0.5035,0.37101,0.40281,0.2107,2.06394,2.02262,0.00966,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,25067.3,0.45103,0.17455,0.00124,0.4828,0.37925,0.3926,0.2059,2.05901,1.88816,0.00964,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,25564.9,0.45192,0.17521,0.00125,0.48602,0.37131,0.39152,0.20489,2.04925,1.9286,0.00959,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,26063.5,0.45211,0.17352,0.00123,0.49842,0.37497,0.39988,0.22049,2.03314,1.93992,0.00951,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
